,Gabaergic,Gabaergic,Gabaergic (Lhx5),Gabaergic,Astrocytes (Sparc and Sox9),"Granule neurons (Neurod1, Selm)",Gabaergic,Gabaergic,"NPC(Id3, Id1","Granule neurons (Neurod1, Selm)",10,"Granule neurons (Selm, pax6, atph1, neurod)","Granule Neurons (Selm, Pax6)","Glutamergic (Atoh1, Barhl1)",14,Gabaergic,"Astrocyte (Sparcl1 and S;c1a3, Id3, Ndrg2)",Erythrocytes (BAMBI)
61,Slc25a4,Lhx1,H3f3a,Ier5,Itm2b,Cenpf,Vamp2,Bcl11b,Hspe1,Lhx9,Pgpep1,Srsf3,Ly6e,Fxyd6,Lgals1,Rab3a,Ednrb,Cox4i1
62,Syndig1l,Rac3,Celf3,Gnas,Prkcdbp,Nde1,Ndufa4,Nsg2,Pkm,Ly6h,Bcl7a,H1f0,Hspa2,Igsf21,Hmox1,Map2,Nes,Rpl41
63,Nrxn1,Cd200,Atp1b1,Hn1,Gpx8,Phgdh,Ebf3,Tagln3,Id1,Tmem178,Pdlim4,Prdx4,Ppp1r14c,Rps20,Tal1,Slc25a4,Mt3,Cldn5
64,Islr2,Cadm1,Ebf2,Robo3,Rpl13a,Cdca3,Uchl1,Cd24a,Eef1a1,Nipsnap3b,Spsb4,Rplp0,Fam210b,Ifitm2,Ucp2,Bcl11a,Atp1a2,Ier2
65,Dynll2,Pafah1b3,Mfap4,Idh1,Atp1a2,Anp32e,Calb1,Fez1,Rplp2,Pafah1b3,Smoc1,Hnrnpa2b1,Rnd2,Rps21,Cfap57,Calm2,Rpl22,Car2
66,Lbh,Nsg2,Fam110a,Sqle,Ednrb,Mgst1,Cox6a1,Cd200,Rps15a,Sox11,Tpbg,Pcna,Rps5,Hnrnpf,Ncf4,Ctxn1,Rac1,Rhoa
67,Crmp1,Mmd,Dnaja1,Olfm1,Rps5,Arl4a,Dpysl3,Tsc22d1,Tuba1b,Ncam1,Mdk,Nasp,Ttc9b,Serpinh1,Slc16a10,Pid1,Rprm,Eng
68,Zfp428,Chd3os,Vat1,Marcksl1,Hmgn3,Qk,Pcp4,Dynlrb1,Gsta4,Celf4,Nhlh2,Bub3,Mgst3,Apex1,Junb,Crip2,Prdx1,Aldoa
69,Cdk5r1,Kif5c,Ier2,Hmgcs1,Ybx1,Top2a,Dynlrb1,Lhx1os,Hes5,Nefm,Mfap4,Srsf2,Rps14,Rab15,Tuba4a,Nsg2,Anp32b,Sptbn1
70,Cotl1,Epha4,Ntrk1,Fez1,Clic1,Dek,Mmd,Fam57b,Naca,Cox5a,Eif3f,Rpl41,Gadd45a,Rsl1d1,Klf1,Rbfox2,H2afv,Tfpi
