,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
87,Zfp428,Rcn1,C1qtnf4,Pantr1,Lxn,Cyth2,Atp6v0b,Snhg11,Eno1,Fen1,Klf7,Rplp2,Irx2,Id4,Acot7,Rps27l,Cst3,Pdlim2,Aste1
88,Cdk5r1,Spc24,Atat1,Tubb2a,Rps3a1,Rbfox2,Scg5,Ndufa11,Glul,Lsm2,Hdac2,Pdgfc,Rpl39,Ebf2,Hspa2,Gm10260,Rtn1,Prdx1,Sertad1
89,Plpp4,Rpl8,Atp6v0b,Trp53i11,Ttyh1,Gnas,Hist3h2a,Snap25,Nid1,Eef1a1,Fam43a,Hsp90ab1,Sepp1,Calm3,Map1lc3a,Mfng,Csrp1,Ndufs7,Zfp758
90,H3f3a,Serbp1,Svbp,Nrxn3,Elavl1,Elmo1,Cdk5r1,Nxph1,Aldoc,Ybx1,Lhx1,Ttc9b,Rcn2,Fstl5,Resp18,Wdr89,Gm2694,Gatm,St3gal5
91,Tenm2,Cenpm,Sh3bp5,Tfap2a,Park7,Csrp2,Cox6a1,Ap1s2,Ccnd3,Rpl4,Kctd15,Zic1,Npm1,Zfp428,Cd200,Rpl22l1,Barhl1,Slc7a5,Hist1h2bc
92,2900011O08Rik,Rrm1,Slc1a6,Uncx,Gm3764,Khdrbs2,Fabp3,Rbfox2,Etfa,Hnrnpdl,Ntrk1,Meis1,Igsf8,Dynll2,Dpysl3,Cct3,Ube2b,Sptbn1,Mllt3
93,Dynll2,Cenpa,Rbp1,Rufy3,Rps26,Csdc2,Ccl27a,A730017C20Rik,Gcsh,Selm,Cdk2ap1,Esd,Laptm4a,Medag,Ptms,Chd7,Pou2f2,Coro1b,Slc38a7
94,Spock3,Rps8,Cd47,Calm1,Laptm4a,Rnd3,Cfl1,Elavl4,Cdo1,Rps11,AI854517,Clybl,Rps20,Atp5g3,Dner,Selm,Rbfox1,Cthrc1,Bola3
95,Dnm3,Pttg1,Sbk1,Hmgb3,Tead2,Acat2,Ttc9b,Gm17750,Hspe1,Mrfap1,Coro1c,Itm2b,Rpl26,Cd200,Calm2,Rps4x,Rcor2,Wdr1,Rp2
96,Lhx1os,Hat1,Kctd1,Cblb,Rps4x,Mapt,Mgst3,Pfn2,Rps19,Tcf3,Rps3,Cited2,Sox11,Araf,Reep5,G3bp1,Cdk2ap1,Rpl13a,Tfdp2
97,Maged1,Mrfap1,Epha7,Selk,Pcbp2,Ptma,Caly,Crtac1,Fam181a,Mfap4,Gpm6b,Eif5a,Chd7,Ccl27a,Rgmb,Nek6,Nkain4,Gnas,Serinc3
98,Calm3,Cyp26b1,Nenf,Nsdhl,Id1,Ctxn1,Tceb2,Tspan13,Taf13,Rps8,H1f0,Insm1,Rassf4,Blcap,Mab21l2,Eif3k,Atp6v0e,Ldha,Limk1
99,Gdi1,Rps4x,Pid1,Pafah1b3,Cntfr,Dlgap4,Tagln3,Apbb2,Sepp1,Snrpb,Apbb1,Ppp2r2c,Hspe1,Acot7,Pafah1b3,Rpsa,Gse1,H19,Sfxn2
